Name,Company,ID,pigment1,pigment2,pigment3,pigment4,Transparency,Granulating,Staining,Lightfastness,(Pigments),(count-pigments)
helio turquoise,Schmincke,475,PB16,,,,semi-transparent,,,,/PB16/,1
cobalt turquoise,Schmincke,509,PG50,,,,semi-transparent,G,,,/PG50/,1
cobalt green turquoise,Schmincke,510,PB36,,,,opaque,G,,,/PB36/,1
Prussian green,Schmincke,528,PG7,PB60,,,semi-opaque,,,,/PG7/PB60/,2
viridian,Schmincke,513,PG18,,,,semi-transparent,G,,,/PG18/,1
chromium oxide green brilliant,Schmincke,511,PG18,PG7,,,transparent,G,,,/PG18/PG7/,2
phtalo green,Schmincke,519,PG7,,,,transparent,,,,/PG7/,1
helio green,Schmincke,514,PG36,,,,semi-transparent,,,,/PG36/,1
permanent green olive,Schmincke,534,PG62,PG7,,,semi-opaque,,,,/PG62/PG7/,2
sap green,Schmincke,530,PY153,PG7,,,transparent,,,,/PY153/PG7/,2
permanent green,Schmincke,526,PY155,PG7,,,semi-transparent,,,,/PY155/PG7/,2
may green,Schmincke,524,PY151,PG7,,,transparent,,,,/PY151/PG7/,2
cobalt green pure,Schmincke,535,PG19,,,,opaque,G,,,/PG19/,1
cobalt green dark,Schmincke,533,PG26,,,,opaque,G,,,/PG26/,1
Hooker's green,Schmincke,521,PB15:3,PG7,PY42,,opaque,,,,/PB15:3/PG7/PY42/,3
olive green,Schmincke,515,PB15,PG8,,,semi-opaque,,,,/PB15/PG8/,2
chromium oxide green,Schmincke,512,PG17,,,,opaque,,,,/PG17/,1
olive green yellowish,Schmincke,525,PO62,PG36,,,semi-transparent,,,,/PO62/PG36/,2
green earth,Schmincke,516,PBr7,PG7,,,semi-transparent,,,,/PBr7/PG7/,2
transparent green gold,Schmincke,537,PY154,PBr7,,,transparent,,,,/PY154/PBr7/,2
rutile yellow,Schmincke,205,PY53,,,,semi-opaque,,,,/PY53/,1
jaune brilliant dark,Schmincke,221,PW6,PY53,PBr24,,opaque,,,,/PW6/PY53/PBr24/,3
Naples yellow,Schmincke,229,PW6,PY53,PBr24,,opaque,,,,/PW6/PY53/PBr24/,3
raw Sienna,Schmincke,660,PBr7,PY43,,,semi-transparent,,,,/PBr7/PY43/,2
yellow raw ochre,Schmincke,656,PY42,PY43,,,semi-transparent,,,,/PY42/PY43/,2
titanium gold ochre,Schmincke,659,PBr24,,,,opaque,,,,/PBr24/,1
yellow ochre,Schmincke,655,PY42,,,,semi-opaque,,,,/PY42/,1
transparent ochre,Schmincke,657,PY42,,,,transparent,,,,/PY42/,1
raw umber,Schmincke,667,PBr7,PY43,,,semi-transparent,G,,,/PBr7/PY43/,2
Naples yellow reddish,Schmincke,230,PW6,PW4,PR242,PY42,opaque,,,,/PW6/PW4/PR242/PY42/,4
spinel brown,Schmincke,650,PY119,,,,opaque,,,,/PY119/,1
gold brown,Schmincke,654,PY65,PBr41,,,semi-opaque,,,,/PY65/PBr41/,2
transparent Sienna,Schmincke,653,PR101,,,,transparent,,,,/PR101/,1
maroon brown,Schmincke,651,PBr7,,,,semi-opaque,G,,,/PBr7/,1
burnt Sienna,Schmincke,661,PR101,PBk9,,,semi-opaque,,,,/PR101/PBk9/,2
English Venetian red,Schmincke,649,PR101,,,,opaque,,,,/PR101/,1
madder brown,Schmincke,670,PR206,,,,semi-transparent,,,,/PR206/,1
transparent brown,Schmincke,648,PBr41,,,,semi-opaque,,,,/PBr41/,1
mahogany brown,Schmincke,672,PBr33,,,,opaque,G,,,/PBr33/,1
Indian red,Schmincke,645,PR101,PR206,,,opaque,G,,,/PR101/PR206/,2
Mars brown,Schmincke,658,PBr6,,,,opaque,G,,,/PBr6/,1
transparent umber,Schmincke,671,PR101,,,,transparent,,,,/PR101/,1
burnt umber,Schmincke,668,PBr7,,,,semi-opaque,,,,/PBr7/,1
green umber,Schmincke,665,PBr7,,,,semi-transparent,G,,,/PBr7/,1
Vandyke brown,Schmincke,669,PY150,PBr7,PBk7,,semi-opaque,,,,/PY150/PBr7/PBk7/,3
sepia brown,Schmincke,663,PB15:1,PBr7,PBk9,,semi-opaque,,,,/PB15:1/PBr7/PBk9/,3
sepia brown reddish,Schmincke,662,PR242,PBr7,PBk9,,semi-opaque,,,,/PR242/PBr7/PBk9/,3
neutral tint,Schmincke,782,PR122,PB60,PBk7,,semi-opaque,,,,/PR122/PB60/PBk7/,3
neutral grey,Schmincke,785,PR255,PB255,PO62,,semi-opaque,,,,/PR255/PB255/PO62/,3
Payne's grey bluish,Schmincke,787,PBk6,PB15:6,,,semi-opaque,,,,/PBk6/PB15:6/,2
perylene green,Schmincke,784,PBk31,,,,opaque,,,,/PBk31/,1
Schminke Payne's grey,Schmincke,783,PR101,PB29,PBk7,,semi-opaque,,,,/PR101/PB29/PBk7/,3
lamp black,Schmincke,781,PBk6,,,,opaque,,,,/PBk6/,1
ivory black,Schmincke,780,PBk9,,,,semi-opaque,,,,/PBk9/,1
hematite black,Schmincke,789,PG17,,,,opaque,G,,,/PG17/,1
anthracite,Schmincke,786,PBk7,,,,opaque,,,,/PBk7/,1
graphite grey,Schmincke,788,PBk10,,,,opaque,,,,/PBk10/,1
Mars black,Schmincke,791,PBk11,,,,opaque,G,,,/PBk11/,1
silver,Schmincke,894,--,,,,semi-opaque,,,,/--/,1
gold,Schmincke,893,--,,,,semi-opaque,,,,/--/,1
brilliant opera rose,Schmincke,920,PR122,fluor Pigment,,,transparent,,,,/PR122/fluor Pigment/,2
brilliant purple,Schmincke,930,PR122,fluor Pigment,,,semi-transparent,,,,/PR122/fluor Pigment/,2
brilliant red violet,Schmincke,940,PR55,fluor Pigment,,,semi-transparent,,,,/PR55/fluor Pigment/,2
brilliant blue violet,Schmincke,910,PR122,PV23,fluor Pigment,,semi-transparent,,,,/PR122/PV23/fluor Pigment/,3
ONETZ,Schmincke,31,--,,,,,,,,/--/,1
volcano yellow,Schmincke,911,PR159,,,,transparent,SG,,,/PR159/,1
volcano orange,Schmincke,912,PY159,PR108,,,transparent,SG,,,/PY159/PR108/,2
volcano red,Schmincke,913,PR108,,,,semi-transparent,SG,,,/PR108/,1
volcano violet,Schmincke,914,PV62,PR108,,,semi-opaque,SG,,,/PV62/PR108/,2
volcano brown,Schmincke,915,PR108,PBk11,,,semi-opaque,SG,,,/PR108/PBk11/,2
desert yellow,Schmincke,921,PY159,PBr7,,,semi-transparent,SG,,,/PY159/PBr7/,2
desert orange,Schmincke,922,PY159,PBr33,,,semi-transparent,SG,,,/PY159/PBr33/,2
desert brown,Schmincke,923,PY159,PR108,PBk11,,semi-opaque,SG,,,/PY159/PR108/PBk11/,3
desert green,Schmincke,924,PR108,PG26,,,opaque,SG,,,/PR108/PG26/,2
desert grey,Schmincke,925,PY159,PBk11,,,semi-opaque,SG,,,/PY159/PBk11/,2
galaxy pink,Schmincke,971,PV16,PBr33,,,semi-opaque,SG,,,/PV16/PBr33/,2
galaxy violet,Schmincke,972,PR233,PB29,,,semi-transparent,SG,,,/PR233/PB29/,2
galaxy blue,Schmincke,973,PG50,PB29,,,semi-transparent,SG,,,/PG50/PB29/,2
galaxy brown,Schmincke,974,PV62,PBr6,,,semi-opaque,SG,,,/PV62/PBr6/,2
galaxy black,Schmincke,975,PBk11,PB29,,,semi-opaque,SG,,,/PBk11/PB29/,2
tundra orange,Schmincke,981,PR233,PBr7,PY43,,transparent,SG,,,/PR233/PBr7/PY43/,3
tundra pink,Schmincke,982,PB29,PR233,,,transparent,SG,,,/PB29/PR233/,2
tundra violet,Schmincke,983,PB29,PBr6,,,semi-transparent,SG,,,/PB29/PBr6/,2
tundra blue,Schmincke,984,PB29,PBr7,,,transparent,SG,,,/PB29/PBr7/,2
tundra green,Schmincke,985,PBr6,PG19,,,opaque,SG,,,/PBr6/PG19/,2
deep sea violet,Schmincke,951,PB29,PBr33,,,semi-opaque,SG,,,/PB29/PBr33/,2
